( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( COMENTARIO_LINHA, '# Calcular o fatorial de n' )
( FUNCAO, 'function' )
( VARIAVEL, 'fatorial' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( TIPO_INT, 'int' )
( VARIAVEL, 'n' )
( IGUAL, '=' )
( ENTRADA, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Digite um valor para n: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'result' )
( IGUAL, '=' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( WHILE, 'while' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'n' )
( MAIOR, '>' )
( INT, '1' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( VARIAVEL, 'result' )
( IGUAL, '=' )
( VARIAVEL, 'result' )
( MULTIPLICACAO, '*' )
( VARIAVEL, 'n' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'n' )
( IGUAL, '=' )
( VARIAVEL, 'n' )
( SUBTRACAO, '-' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( RETORNO, 'return' )
( VARIAVEL, 'result' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( TIPO_INT, 'int' )
( VARIAVEL, 'fat' )
( IGUAL, '=' )
( VARIAVEL, 'fatorial' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"O fatorial de n é: "' )
( SOMA, '+' )
( VARIAVEL, 'fat' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( FIM, 'end' )
