( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( COMENTARIO_LINHA, '# Calcular a sequência de Fibonacci até n' )
( FUNCAO, 'function' )
( VARIAVEL, 'fibonacci' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( TIPO_INT, 'int' )
( VARIAVEL, 'n' )
( IGUAL, '=' )
( ENTRADA, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Digite um valor para n: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'a' )
( IGUAL, '=' )
( INT, '0' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'b' )
( IGUAL, '=' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'temp' )
( PONTO_E_VIRGULA, ';' )
( WHILE, 'while' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'n' )
( MAIOR, '>' )
( INT, '0' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'a' )
( SOMA, '+' )
( STRING, '", "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'temp' )
( IGUAL, '=' )
( VARIAVEL, 'a' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'a' )
( IGUAL, '=' )
( VARIAVEL, 'b' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'b' )
( IGUAL, '=' )
( VARIAVEL, 'temp' )
( SOMA, '+' )
( VARIAVEL, 'b' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'n' )
( IGUAL, '=' )
( VARIAVEL, 'n' )
( SUBTRACAO, '-' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( VARIAVEL, 'fibonacci' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( FIM, 'end' )
