( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( COMENTARIO_LINHA, '# Hello World' )
( TIPO_CHAR, 'char' )
( VARIAVEL, 'x' )
( IGUAL, '=' )
( VARIAVEL, 'D' )
( PONTO_E_VIRGULA, ';' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"Hello World!"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( FIM, 'end' )
