( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( COMENTARIO_LINHA, '# Calcular a media entre dois valres' )
( FUNCAO, 'function' )
( VARIAVEL, 'calcula' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( TIPO_INT, 'int' )
( VARIAVEL, 'x' )
( IGUAL, '=' )
( ENTRADA, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Digite um valor para x: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'y' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'y' )
( IGUAL, '=' )
( ENTRADA, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Digite um valor para y: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'media' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'media' )
( IGUAL, '=' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'x' )
( SOMA, '+' )
( VARIAVEL, 'y' )
( FECHA_PARENTESES, ')' )
( DIVISAO, '/' )
( INT, '2' )
( PONTO_E_VIRGULA, ';' )
( IF, 'if' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'media' )
( MAIOR_OU_IGUAL, '>=' )
( INT, '6' )
( FECHA_PARENTESES, ')' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"A média é maior ou igual a 6"' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( ELSE, 'else' )
( COMECO_DELIMITADOR_CHAVES, '{' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"A média é menor que 6"' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( SAIDA, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"A média é: "' )
( SOMA, '+' )
( VARIAVEL, 'media' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( VARIAVEL, 'calcula' )
( ABRE_PARENTESES, '(' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_DELIMITADOR_CHAVES, '}' )
( FIM, 'end' )
